Canonical_Role,Total_Mentions
students with disabilities,40
teacher,35
students from low socioeconomic status,32
students from minority ethnic backgrounds,29
student,28
data protection officer,27
school counselor,25
english language learner students,23
parent/guardian,22
students with mental health conditions,21
school administrator,21
school district special education coordinator,21
school district board member,18
state department of education official,18
school principal,17
school district student union representative,15
educational psychologist,14
parent,12
school district data protection officer,12
district superintendent,10
students in foster care,9
legal counsel,9
curriculum developer,9
school district legal counsel,8
lgbtq+ students,8
education researcher,8
it administrator,8
school district it manager,8
students with behavioral challenges,8
school it administrator,7
ai system vendor representative,7
students in rural or remote schools,6
students with limited digital literacy,6
gifted students from underrepresented groups,6
students with chronic illnesses,6
students identified as at‑risk,5
district student data analyst,5
neurodiverse students,5
homeless students,5
civil rights advocate,5
district student data quality officer,5
education policy maker,5
school district compliance officer,4
school district student services coordinator,4
machine learning engineer,4
privacy advocate,4
data scientist,4
migrant and refugee students,4
non-native english speaking students,4
student representative,4
ai system developers,4
students with limited digital access,4
first-generation students,3
civil rights organization representative,3
special education teacher,3
school district data governance board member,3
school district procurement officer,3
school district policy maker,3
students in foster care or with unstable home situations,3
accreditation body representative,3
ai ethics officer,3
students from marginalized communities,3
students in special education programs,3
foster youth,3
at-risk students (predicted to drop out),3
software engineer,3
student advocates,2
school district risk management officer,2
school district financial officer,2
national data protection authority official,2
institutional ai ethics review board member,2
racial and ethnic minorities,2
students experiencing homelessness or housing instability,2
equity specialist,2
external compliance auditor,2
students with language barriers,2
students with privacy concerns (sensitive data),2
undocumented students,2
mental health professional,2
rural students with limited broadband access,2
school social worker,2
education regulatory bodies,2
students with irregular attendance due to work or caregiving responsibilities,2
ethics review boards,2
technical auditors,2
school ethics committee,2
education regulator (state department of education),2
parents of minors with low digital literacy,2
students with limited english proficiency,2
it security specialist,2
disability advocate,2
parent-teacher association representative,2
ai vendor product manager,2
equity and inclusion officer,2
federal education agency representative,2
education technology vendor,2
young students,2
community advocate,2
student privacy advocate,2
students with learning difficulties,1
school district community liaison,1
school district technology support staff,1
students in under-resourced schools,1
disability services staff,1
educational technology procurement officer,1
students with chronic absenteeism,1
academic researcher,1
students at risk of algorithmic misclassification,1
privacy advocacy group representative,1
transgender and gender non‑conforming students,1
guidance counselor,1
accessibility specialist,1
assessment designer,1
parent representative,1
students with chronic health conditions affecting attendance,1
educational technology researcher,1
learning disabilities specialist,1
students in alternative education programs,1
registrar,1
product manager,1
chief information officer,1
civil rights commission official,1
ministry of education official,1
student with mental health needs advocate,1
minority student advocate,1
english language learner advocate,1
low-income student advocate,1
district equity officer,1
vice principal,1
parents' associations,1
technical experts,1
students learning in a second language,1
ux designer,1
students with prior disciplinary records,1
policy makers,1
funding agency representative,1
institutional review board member,1
academic advisor,1
district assessment coordinator,1
district curriculum coordinator,1
district student data ethics officer,1
students labeled as underperforming,1
district attendance officer,1
parents of minors,1
ethics review board chair,1
disability services coordinator,1
students with low parental involvement,1
school district machine learning engineer,1
school district student health services officer,1
school district human resources officer,1
privacy advocate (school district),1
ferpa compliance officer,1
special education attorney or advocate,1
district technology director,1
ethicists,1
university admissions officer,1
system developer,1
students with trauma history,1
librarian,1
